!Title,!Org,Vacancy Button,!Location,Date published,!Date it closes,!Problem area (filters),!Description,!Required degree,!MinimumExperienceLevel,!Role type,!Position,!Salary (display),Org's home page,Org's vacancies page,Org's logo,Highlighted role
"Senior Manager, Product Marketing",Center for AI Safety,https://job-boards.greenhouse.io/centerforartificialintelligencesafetyinc/jobs/4377933009,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll transform AI safety research into public campaigns that reach mainstream audiences through compelling storytelling.
* Develop go-to-market strategies for launches, determining audiences, refining narratives, and establishing success measures.
* Own end-to-end launch execution, producing messaging and assets while coordinating teams, agencies, and partners.
* Build and operate creator programs that enable others to communicate about AI safety.
* Track outcomes and develop playbooks that scale successful approaches across initiatives.",Undergraduate degree or less,Mid (5-9 years experience),Outreach,Full-time,"$150,000 - $200,000",https://www.cais.ai/,https://www.safe.ai/careers,https://80000hours.org/wp-content/uploads/2023/11/Center-for-AI-safety.jpeg,checked
Social Media and Community Manager,Center for AI Safety,https://job-boards.greenhouse.io/centerforartificialintelligencesafetyinc/jobs/4376556009,San Francisco Bay Area.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll run CAIS's daily social media presence and build community conversations that spread AI safety ideas across platforms.
* Translate technical research into clear, story-driven social copy that resonates with audiences.
* Own the content calendar and publishing strategy across social platforms and owned surfaces.
* Engage actively in comment sections to hold the frame, seed discussions, and amplify conversations.
* Build relationships with creators, clippers, and power-listeners through direct outreach and ready-to-run clips.",Undergraduate degree or less,Mid (5-9 years experience),Outreach,Full-time,"$120,000 - $160,000",https://www.cais.ai/,https://www.safe.ai/careers,https://80000hours.org/wp-content/uploads/2023/11/Center-for-AI-safety.jpeg,checked
Business Immigration Associate,Coefficient Giving,https://jobs.ashbyhq.com/coefficientgiving/7fe767dd-0c29-4923-9c85-77f92cdde1c2,Remote.Global,2026-08-24,8/9/2026,4. Macrostrategy,"* In this role, you'll own day-to-day U.S. immigration casework including nonimmigrant visas and green card processes.
* Manage case strategies with external counsel, coordinate employee information, and troubleshoot obstacles to advance cases.
* Maintain regular communication with employees and stakeholders to ensure clarity about case status and next steps.
* Identify patterns and opportunities for process improvements, keeping documentation accessible and policies current.
* Field immigration inquiries and contribute to scaling immigration operations as the organisation grows.",Undergraduate degree or less,Junior (1-4 years experience),"Operations, Legal",Full-time,"$113,500 - $130,525",https://coefficientgiving.org/,https://coefficientgiving.org/about-us/careers/,https://80000hours.org/wp-content/uploads/2025/11/coefficient_giving_logo.jpg,checked
Digital Campaigns Manager,Humans in Control,https://humansincontrol.org/careers/digital-campaigns-manager,Remote.USA,2026-08-24,1/1/2050,1. AI safety & policy,"* In this role, you'll build and run campaigns that turn public concern about AI into organized action.
* Write and send email and SMS programs including action alerts, campaign updates, and newsletters.
* Build digital actions like petitions and click-to-call campaigns while managing CRM segmentation, automation, and analytics.
* Produce on-brand materials for organizers and volunteers including handouts, one-pagers, and event collateral.
* Respond rapidly to breaking news by building pages, writing copy, and publishing assets within a day.",Undergraduate degree or less,Junior (1-4 years experience),Outreach,Full-time,"$80,000 - $95,000",https://humansincontrol.org/,https://humansincontrol.org/careers,https://80000hours.org/wp-content/uploads/2026/05/humans_in_control_logo.png,
"Research Associate, Glycol Vapour","Imperial College London, Department of Infectious Disease",https://www.imperial.ac.uk/jobs/search-jobs/description/index.php?nPostingID=18089&nPostingTargetID=28920&ID=PMMFK026203F3VBQB8NLOV4CQ,London.UK,2026-08-24,25/8/2026,2. Biosecurity & pandemic preparedness,"*  Contribute to a research programme to investigate how effectively vapourised glycols can block influenza transmission in a variety of animal and cellular models.
* Take initiatives in the planning of research to direct the work of small research teams and to identify and develop suitable techniques.
* Identify and develop suitable techniques, and apparatus, for the collection and analysis of data.
* Present findings to colleagues and at conferences.
* Submit publications to refereed journals.",Doctoral degree,Junior (1-4 years experience),Research,Full-time,Not Found,https://www.imperial.ac.uk/infectious-disease,https://www.imperial.ac.uk/jobs/search/?keywords=,https://80000hours.org/wp-content/uploads/2020/04/imperial-college-london.jpg,
"Research Associate, Infectious Disease Modelling","Imperial College London, School of Public Health",https://www.imperial.ac.uk/jobs/search-jobs/description/index.php?nPostingID=18084&nPostingTargetID=28898&ID=PMMFK026203F3VBQB8NLOV4CQ,London.UK,2026-08-24,31/8/2026,2. Biosecurity & pandemic preparedness,"* In this role, you'll lead Imperial's contribution to an international research project on mathematical modelling of within-host immune systems for pandemic preparedness.
* Develop mathematical models to evaluate immunological assays for viral surveillance and spillover detection.
* Collaborate with international teams including Oxford, Institut Pasteur, NUS and A*STAR on emerging infectious disease research.
* Synthesise scientific data to assess novel immunological tools for broader pandemic surveillance strategies.
* Travel to the region as required to support international collaboration.",Doctoral degree,Junior (1-4 years experience),Research,Full-time,"£50,733 - £59,484",https://www.imperial.ac.uk/school-public-health/,https://www.imperial.ac.uk/jobs/search/?keywords=,https://80000hours.org/wp-content/uploads/2020/04/imperial-college-london.jpg,
AI Integration Lead,Rethink Priorities,https://careers.rethinkpriorities.org/en/postings/47a59076-cc1a-4426-b658-ba4e087918f6,Remote.Global,2026-08-24,30/8/2026,4. Macrostrategy,"* In this role, you'll lead RP's effort to empirically evaluate which research and operational tasks AI can reliably augment and build tools that work.
* Design rigorous evaluations testing AI tools against workflows, distinguishing what AI can reliably do from what it can't.
* Build and prototype agentic tooling and internal tools to test and scale effective approaches.
* Partner with teams across RP to understand workflows, surface use cases, and embed working solutions into practice.",Undergraduate degree or less,Multiple experience levels,Strategy,Full-time,"$132,986 - $146,447",https://www.rethinkpriorities.org/,https://careers.rethinkpriorities.org/,https://80000hours.org/wp-content/uploads/2022/04/Rethink-Priorities.png,
"Advisor, Biosecurity",Successif,https://www.successif.org/biosecurity-advisor,Remote.Global,2026-08-24,30/8/2026,2. Biosecurity & pandemic preparedness,"* In this role, you'll provide career advising to mid-career professionals transitioning to biosecurity and build partnerships with biosecurity organizations.
* Conduct regular advising sessions and design tailored support including resume reviews, network expansion, and research proposal guidance.
* Build and maintain a network of biosecurity organizations, monitor hiring needs, and connect qualified candidates with partners.
* Represent Successif at conferences and biosecurity events.
* Facilitate workshops for advisees and collaborate with the team on advising progress.",Undergraduate degree or less,Mid (5-9 years experience),Other,"Part-time,Full-time","$90,000 - $112,000",https://www.successif.org/,https://www.successif.org/joinourteam,https://80000hours.org/wp-content/uploads/2024/05/successif_logo.jpeg,
Biosecurity Course,BlueDot Impact,https://bluedot.org/courses/biosecurity,Remote.Global,2026-08-24,1/1/2050,2. Biosecurity & pandemic preparedness,"* This course teaches how to prevent, detect and respond to pandemic threats and identify where you can contribute.
* Covers structured overview of pandemic preparedness efforts, what works, what fails, and critical gaps in the system.
* Offers flexible formats: intensive (~6 days at ~5h/day) or part-time (~6 weeks at ~5h/week) with expert-led discussions.
* Applications are rolling.",Undergraduate degree or less,Entry-level,Other,Course,Not Found,https://www.bluedotimpact.org/,https://www.bluedotimpact.org/careers,https://80000hours.org/wp-content/uploads/2023/11/BlueDot-Impact-Icon-for-LinkedIn.png,
Community and Events Associate,Collider,https://jobs.ashbyhq.com/collider/476bfda5-1ac9-4cba-a9f9-013cbe27f06f,"""New York, NY.USA""",2026-08-24,1/9/2026,1. AI safety & policy,"* In this role, you'll manage day-to-day office operations, coordinate events, and build community for a mission-driven organization.
* Run office operations including front desk coverage, visitor check-in, vendor coordination, and space maintenance.
* Coordinate and execute events with logistics, catering, AV setup, and real-time troubleshooting.
* Implement member onboarding and connectivity initiatives while gathering community feedback.
* Maintain community metrics and communications to foster an inclusive, welcoming culture.",Undergraduate degree or less,Junior (1-4 years experience),Operations,Full-time,"$60,000 - $80,000",https://collider.nyc/,https://jobs.ashbyhq.com/collider/,https://80000hours.org/wp-content/uploads/2026/07/collider_nyc_logo.jpeg,
"Consultant, Search Engine Optimisation and Generative Engine Optimisation",Effective Altruism Hong Kong,https://www.eahongkong.org/rfp-seo-consultant,Remote.Global,2026-08-24,1/1/2050,5. Building effective altruism,"* In this role, you'll strengthen EAHK's and GiveWise's organic search visibility through SEO and GEO consulting.
* Conduct baseline audits and keyword research to identify priority opportunities for the next 3-6 months.
* Recommend and implement technical and on-page improvements across both traditional search and AI-powered engines.
* Develop content strategy and optimisation plans to improve discoverability among donors and stakeholders.
* Establish performance tracking and monthly reporting frameworks to measure ongoing search impact.",Undergraduate degree or less,Junior (1-4 years experience),Other,Part-time,Not Found,https://www.eahongkong.org/,https://www.eahongkong.org/join-our-team,https://80000hours.org/wp-content/uploads/2026/03/ea_hong_kong_logo.jpeg,
"Writer, GiveWise",Effective Altruism Hong Kong,https://www.eahongkong.org/join-our-team,Hong Kong.China,2026-08-24,1/1/2050,5. Building effective altruism,"* In this role, you'll help build Effective Altruism Hong Kong's content engine as an EA-aligned writer.
* Create written material on effective altruism, global health, and philosophy.
* Develop pieces that educate and engage the community.
* Build a portfolio of work in effective altruism and related disciplines.",Undergraduate degree or less,Junior (1-4 years experience),Other,Volunteering,Unpaid,https://www.eahongkong.org/,https://www.eahongkong.org/join-our-team,https://80000hours.org/wp-content/uploads/2026/03/ea_hong_kong_logo.jpeg,
"Project Manager / Project Associate, Outreach and Community Building",Effective Altruism Norway,https://www.effektivaltruisme.no/ledige-stillinger/prosjektleder-communitybuilding,Oslo.Norway,2026-08-24,20/9/2026,5. Building effective altruism,"* In this role, you'll lead initiatives to reach students nationwide, inspire meaningful careers with positive impact, and support participant development.
* Conduct outreach to schools and students through presentations, campaigns and social media.
* Organize and coordinate national career events, conferences and community gatherings to recruit participants.
* Follow up with participants and volunteers to support their progression and address needs.
* Manage project administration including finances, reporting and partnerships.",Undergraduate degree or less,"Entry-level,Junior (1-4 years experience)",Outreach,"Part-time,Full-time",Not Found,https://effektivaltruisme.no/,https://effektivaltruisme.no/ledige-stillinger?fbclid=IwAR1dY7iBMoE34omgsgDKaUSF61bPh8J3eVbo6395G3UfxC9HqzWpPaEY7jI,https://80000hours.org/wp-content/uploads/2021/06/Effective-altruism-norway.png,
Fellow / Senior Fellow,"University of Chicago, Market Shaping Accelerator",https://centerforglobaldevelopment.applytojob.com/apply/nDb6lMwpMb/FellowSenior-Fellow-Market-Shaping-Accelerator,"""Washington, DC metro area.USA""",2026-08-24,1/11/2026,5. Building effective altruism,"* In this role, you'll develop a research agenda on market shaping mechanisms to accelerate innovation for global public goods.
* Design and evaluate pull mechanisms such as advance market commitments and outcome-based funding.
* Mobilize funding for MSA's work on market shaping and innovation policy.
* Represent MSA externally through speaking engagements, publications, and convenings with policymakers and donors.
* Publish reports and policy briefs translating findings and supervise research assistants.",Doctoral degree,Multiple experience levels,"Research, Policy",Fellowship,"$130,000 - $190,000",https://marketshaping.uchicago.edu/,https://marketshaping.uchicago.edu/,https://80000hours.org/wp-content/uploads/2019/12/iversity-of-chicago.png,
List of Recurring Fellowships Relevant to Top Problems,Various Fellowship Providers,https://airtable.com/app53PsYpHxJW61l3/shrQSYXSW9z96y5WE,Various.Global,2026-08-24,1/1/2050,E. Career development,"- Fellowships are an opportunity to develop skills, particularly in policy and research. This list tracks fellowships that open at regular intervals.
- Areas include AI safety, information security, climate change, journalism, general funding, science, biosecurity, nuclear security, global priorities research, global health, animal welfare, and policy.
- Primarily early-career fellowships, but opportunities for other experience levels are included.",Undergraduate degree or less,Multiple experience levels,"Research, Policy",Fellowship,Not Found,,,https://80000hours.org/wp-content/uploads/2024/04/Fellowships-icon.png,
Impact Accelerator Program,High Impact Professionals,https://www.highimpactprofessionals.org/impact-accelerator,Remote.Global,2026-08-21,20/9/2026,5. Building effective altruism,"* This program helps experienced professionals transition into high-impact careers using evidence-based tools and community support over 6 weeks.
* Includes 1.5-hour weekly cohort sessions with 5 peers for guidance, accountability, and feedback on your impact plan.
* Provides structured content to explore different career paths and build relationships with a global network of professionals.
* Offers ongoing post-program support including monthly alumni sessions and access to hundreds of IAP alumni.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)",Other,Course,Not Found,https://www.highimpactprofessionals.org/,,https://80000hours.org/wp-content/uploads/2022/05/HIP.png,
"Program Officer, AI Model Safety",OpenAI Foundation,https://openaifoundation.org/careers/program-officer-ai-model-safety-5e8f68c7-7e4f-49f5-aada-7950cc6ffaa7,San Francisco Bay Area.USA,2026-08-21,1/1/2050,1. AI safety & policy,"* In this role, you'll run the Foundation's AI Model Safety program grantmaking across evaluations, standards, and foundational research.
* Manage grant investigations from sourcing through board recommendations and deployment to grantees.
* Proactively identify gaps and necessary organizations in AI safety, finding founders to launch new initiatives.
* Work with the AI Resources team to route resources to grantees and support their success.
* Develop program strategy with leadership and build relationships across the safety ecosystem.",Undergraduate degree or less,Multiple experience levels,Strategy,Full-time,"$220,000 - $300,000",https://openaifoundation.org/,https://openaifoundation.org/careers,https://80000hours.org/wp-content/uploads/2026/08/openai_foundation_logo.jpeg,
"Program Director, Formal Methods",OpenAI Foundation,https://openaifoundation.org/careers/program-director-formal-methods-261279c0-757e-4792-b731-264ca2e984c6,San Francisco Bay Area.USA,2026-08-21,1/1/2050,1. AI safety & policy,"* In this role, you'll set the Foundation's formal methods R&D strategy for cyber resilience, coordinating across academia, industry, and government.
* Build and execute a portfolio of grants and contracts funding exceptional research on verified defensive systems.
* Launch rapid technical sprints and demonstrations on consequential systems with clear milestones for scaling or stopping work.
* Coordinate the formal-methods ecosystem spanning researchers, companies, infrastructure operators, and government to drive deployment.
* Lead a small team of technical experts and program builders executing the vision.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Strategy, Management, Information security",Full-time,"$300,000 - $370,000",https://openaifoundation.org/,https://openaifoundation.org/careers,https://80000hours.org/wp-content/uploads/2026/08/openai_foundation_logo.jpeg,
"Program Officer, AI Resources",OpenAI Foundation,https://openaifoundation.org/careers/program-officer-ai-resources-33d3015a-70f3-4f5a-be26-9803f3582403,San Francisco Bay Area.USA,2026-08-21,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct research and strategy work to secure and deploy AI resources across grantees for biosecurity, model safety, and cybersecurity initiatives.
* Research the AI resources portfolio and market scenarios to inform allocation decisions.
* Support grantmaking end-to-end from sourcing and diligence to resource deployment.
* Identify and develop key projects and organisations needed in AI resilience.
* Manage partnerships with OpenAI and compute providers, executing infrastructure deals and securing model access.",Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Research, Strategy",Full-time,"$220,000 - $300,000",https://openaifoundation.org/,https://openaifoundation.org/careers,https://80000hours.org/wp-content/uploads/2026/08/openai_foundation_logo.jpeg,
Communications and Campaigns Assistant,Animal Equality,https://animalequality.org.br/vagas-assistente-de-comunicacao-e-campanhas/,.Brazil,2026-08-21,31/8/2026,B. Animal welfare,"* In this role, you'll execute campaign and communication strategies to create change for exploited animals.
* Create and adapt content for social media, websites, blogs, petitions and emails aligned with organisational voice.
* Organise logistics for public actions, protests and events including volunteer recruitment and mobilisation.
* Monitor news and trends to identify campaign opportunities and respond to relevant developments.
* Track metrics, analyse results and collaborate with international teams on coordinated campaigns.",Undergraduate degree or less,Junior (1-4 years experience),Outreach,Full-time,"3,500 BRL per month",https://animalequality.org/,https://animalequality.org/jobs/,https://80000hours.org/wp-content/uploads/2022/08/AnimalEqualitySquareLogo.png,
Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering Institute",https://cmu.wd5.myworkdayjobs.com/en-US/SEI/job/Pittsburgh-PA/Senior-AI-Red-Team-Engineer_2025001-1,"""Pittsburgh, PA.USA"",""Washington, DC metro area.USA""",2026-08-21,1/1/2050,1. AI safety & policy,"* In this role, you'll red team real-world AI-enabled systems used in national security contexts, combining offensive cyber expertise with AI security knowledge.
* Develop new tactics, techniques, and procedures for attacking AI-enabled systems and related software.
* Write tools in Python, PowerShell, C, and BASH to enable red team operations.
* Plan, rehearse, and execute red team operations at field sites and present findings to stakeholders.
* Represent CERT's technical portfolio and communicate with external mission partners and internal collaborators.",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)","Software engineering, Information security",Full-time,Not Found,https://www.sei.cmu.edu/,https://www.sei.cmu.edu/careers/index.cfm,https://80000hours.org/wp-content/uploads/2023/01/Carnegie-Mellon-Software-Engineering-Institute.png,
Policy and Government Engagement Support,Evidence Action,https://apply.workable.com/evidence-action/j/EB9D590593/,.Nigeria,2026-08-21,1/1/2050,A. Global health & development,"* In this role, you'll strengthen government relationships by conducting policy research and supporting evidence-based policy adoption in Nigeria.
* Conduct research on government programs and legislative developments to identify advocacy opportunities.
* Coordinate meetings with government officials and prepare briefing materials and presentations for stakeholder engagements.
* Monitor policy trends, maintain stakeholder databases, and track changes in government leadership.
* Document policy activities, meetings, and communications, and assist in developing policy influence case studies.",Undergraduate degree or less,Junior (1-4 years experience),"Policy, Outreach",Full-time,Not Found,https://www.evidenceaction.org/,https://evidenceaction.bamboohr.com/jobs/,https://cdn.80000hours.org/wp-content/uploads/2018/04/evidence_action-150x150.png,
"Research Engineer, AGI Safety and Alignment",Google DeepMind,https://www.google.com/about/careers/applications/jobs/results/114312938881196742,"San Francisco Bay Area.USA,""New York, NY.USA""",2026-08-21,1/1/2050,1. AI safety & policy,"* In this role, you'll conduct research on AGI safety and alignment to reduce existential risks from artificial general intelligence.
* Research novel alignment methods and apply AGI-scalable techniques to frontier models.
* Develop adversarially robust AGI control systems and implement them in production.
* Research interpretability techniques to understand how AI systems think.
* Work with product teams to ensure research adoption and integration.",Undergraduate degree or less,Junior (1-4 years experience),"Research, Software engineering",Full-time,"$174,000 - $252,000",https://www.deepmind.com,https://deepmind.com/careers/jobs,https://80000hours.org/wp-content/uploads/2022/12/DeepMind.png,
Security Software Development Student,Intel,https://www.linkedin.com/jobs/view/4454753540/?alternateChannel=search&eBP=NON_CHARGEABLE_CHANNEL&trk=d_flagship3_search_srp_jobs&refId=v4ESAlq5GT3fXbZ4m1HG%2BA%3D%3D&trackingId=WEsh5VilillKEgTmt%2F2WuA%3D%3D,Haifa.Israel,2026-08-21,1/1/2050,D. Career development: Technical,"* In this role, you'll develop and run validation tests for software and security components critical to Intel platforms.
* Analyze test results, investigate failures, and drive issues to root cause.
* Contribute to test-environment infrastructure and measure code and functional coverage.
* Collaborate with engineers across design and validation on quality and release readiness.
* Explore modern productivity tools, including AI-assisted engineering approaches.",Undergraduate degree or less,Entry-level,"Software engineering, Information security",Full-time,Not Found,https://www.intel.com,https://jobs.intel.com/en,https://80000hours.org/wp-content/uploads/2023/05/Intel.jpeg,
IT Cybersecurity Program Manager,"US Government, Cybersecurity and Infrastructure Security Agency",https://www.usajobs.gov/job/881267600,"""Washington, DC metro area.USA""",2026-08-21,24/8/2026,6. Career development: Policy & government,"* In this role, you'll manage cybersecurity and information security requirements across IT systems, acquisitions, and service delivery.
* Review information security requirements and evaluate their integration into procurements and outsourcing efforts.
* Coordinate end-to-end customer service delivery and identify performance issues requiring corrective actions.
* Embed cybersecurity requirements in contract language and supply chain processes.
* Document recommendations for system improvements and security upgrades to enhance compliance and assurance efforts.",Undergraduate degree or less,Mid (5-9 years experience),"Information security, Policy",Full-time,"$85,447 - $133,142",https://www.dhs.gov/CISA,https://www.usajobs.gov/Search/Results?d=HS&hp=public&mco=01&p=1&k=Cybersecurity%20and%20Infrastructure%20Security%20Agency,https://80000hours.org/wp-content/uploads/2019/12/homeland-security.png,
