agenda_name,agenda_section,agenda_sub_section,agenda_full_name,link_url,link_text,title,authors,author_organizations,published_year,date
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://openai.com/safety/evaluations-hub,Safety evaluations hub,Safety evaluations hub,,OpenAI,2025,2025-08-15
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://alignment.openai.com/,alignment.openai.com,Alignment Research Blog,,OpenAI,2025,2025-12-01
OpenAI,Labs (giant companies),,Labs (giant companies) / OpenAI,https://cdn.openai.com/pdf/41df8f28-d4ef-43e9-aed2-823f9393e470/circuit-sparsity-paper.pdf,Weight-sparse transformers have interpretable circuits,Unknown - PDF content not accessible,,OpenAI,,
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://www.alignmentforum.org/posts/StENzDcD3kpfGJssR/a-pragmatic-vision-for-interpretability%20,A Pragmatic Vision for Interpretability,A Pragmatic Vision for Interpretability,"Neel Nanda, Josh Engels, Arthur Conmy, Senthooran Rajamanoharan, bilalchughtai, CallumMcDougall, János Kramár, lewis smith",Google DeepMind,2025,2025-12-01
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://www.alignmentforum.org/posts/MnkeepcGirnJn736j/how-can-interpretability-researchers-help-agi-go-well%20,How Can Interpretability Researchers Help AGI Go Well?,How Can Interpretability Researchers Help AGI Go Well?,"Neel Nanda, Josh Engels, Senthooran Rajamanoharan, Arthur Conmy, bilalchughtai, CallumMcDougall, János Kramár, lewis smith",Google DeepMind,2024,2024-12-01
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://arxiv.org/abs/2505.01420,Evaluating Frontier Models for Stealth and Situational Awareness,Evaluating Frontier Models for Stealth and Situational Awareness,"Mary Phuong, Roland S. Zimmermann, Ziyue Wang, David Lindner, Victoria Krakovna, Sarah Cogan, Allan Dafoe, Lewis Ho, Rohin Shah",Google DeepMind,2025,2025-05-02
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://arxiv.org/abs/2507.05246,"When Chain of Thought is Necessary, Language Models Struggle to Evade Monitors","When Chain of Thought is Necessary, Language Models Struggle to Evade Monitors","Scott Emmons, Erik Jenner, David K. Elson, Rif A. Saurous, Senthooran Rajamanoharan, Heng Chen, Irhum Shafkat, Rohin Shah",Google DeepMind,2025,2025-07-07
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://alignmentforum.org/posts/zWySWKuXnhMDhgwc3/mona-managed-myopia-with-approval-feedback-2,MONA: Managed Myopia with Approval Feedback,MONA: Managed Myopia with Approval Feedback,"Sebastian Farquhar, David Lindner, Rohin Shah",DeepMind,2025,2025-01-23
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://arxiv.org/abs/2510.27062,Consistency Training Helps Stop Sycophancy and Jailbreaks,Consistency Training Helps Stop Sycophancy and Jailbreaks,"Alex Irpan, Alexander Matt Turner, Mark Kurzeja, David K. Elson, Rohin Shah","DeepMind, Google",2025,2025-10-31
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://arxiv.org/abs/2504.01849,An Approach to Technical AGI Safety and Security,An Approach to Technical AGI Safety and Security,"Rohin Shah, Alex Irpan, Alexander Matt Turner, Anna Wang, Arthur Conmy, David Lindner, Jonah Brown-Cohen, Lewis Ho, Neel Nanda, Raluca Ada Popa, Rishub Jain, Rory Greig, Samuel Albanie, Scott Emmons, Sebastian Farquhar, Sébastien Krier, Senthooran Rajamanoharan, Sophie Bridgers, Tobi Ijitoye, Tom Everitt, Victoria Krakovna, Vikrant Varma, Vladimir Mikulik, Zachary Kenton, Dave Orr, Shane Legg, Noah Goodman, Allan Dafoe, Four Flynn, Anca Dragan","Google DeepMind, Anthropic, Stanford University, UC Berkeley, Redwood Research",2025,2025-04-02
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://alignmentforum.org/posts/4uXCAJNuPKtKBsi28/negative-results-for-saes-on-downstream-tasks,Negative Results for SAEs On Downstream Tasks and Deprioritising SAE Research (GDM Mech Interp Team Progress Update #2),Negative Results for SAEs On Downstream Tasks and Deprioritising SAE Research (GDM Mech Interp Team Progress Update #2),"Lewis Smith, Senthooran Rajamanoharan, Arthur Conmy, Callum McDougall, Tom Lieberum, János Kramár, Rohin Shah, Neel Nanda",Google DeepMind,2025,2025-03-26
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://turntrout.com/gemini-steering,Steering Gemini Using BIDPO Vectors,Steering Gemini Using BIDPO Vectors,"Alex Turner, Mark Kurzeja, Dave Orr, David Elson",Google DeepMind,2025,2025-01-30
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://arxiv.org/html/2511.22662v1,Difficulties with Evaluating a Deception Detector for AIs,Difficulties with Evaluating a Deception Detector for AIs,"Lewis Smith, Bilal Chughtai, Neel Nanda",Google,2025,2025-11-27
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://deepmind.google/discover/blog/taking-a-responsible-path-to-agi/,Taking a responsible path to AGI,Taking a responsible path to AGI,"Anca Dragan, Rohin Shah, Four Flynn, Shane Legg",Google DeepMind,2025,2025-04-02
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://deepmind.google/discover/blog/evaluating-potential-cybersecurity-threats-of-advanced-ai,Evaluating potential cybersecurity threats of advanced AI,Evaluating potential cybersecurity threats of advanced AI,"Four Flynn, Mikel Rodriguez, Raluca Ada Popa",Google DeepMind,2025,2025-04-02
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://www.alignmentforum.org/posts/wnzkjSmrgWZaBa2aC/self-preservation-or-instruction-ambiguity-examining-the,Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance,Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance,"Senthooran Rajamanoharan, Neel Nanda",Google DeepMind,2025,2025-07-14
Google Deepmind,Labs (giant companies),,Labs (giant companies) / Google Deepmind,https://arxiv.org/abs/2510.23966,A Pragmatic Way to Measure Chain-of-Thought Monitorability,A Pragmatic Way to Measure Chain-of-Thought Monitorability,"Scott Emmons, Roland S. Zimmermann, David K. Elson, Rohin Shah",Google DeepMind,2025,2025-10-28
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignment.anthropic.com/2025/honesty-elicitation/,Evaluating honesty and lie detection techniques on a diverse suite of dishonest models,Evaluating honesty and lie detection techniques on a diverse suite of dishonest models,"Rowan Wang, Johannes Treutlein, Fabien Roger, Evan Hubinger, Sam Marks",Anthropic,2025,2025-11-25
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://anthropic.com/research/agentic-misalignment,Agentic Misalignment: How LLMs could be insider threats,Agentic Misalignment: How LLMs could be insider threats,"Aengus Lynch, Benjamin Wright, Caleb Larson, Kevin K. Troy, Stuart J. Ritchie, Sören Mindermann, Ethan Perez, Evan Hubinger","Anthropic, University College London, MATS, Mila",2025,2025-06-20
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignmentforum.org/posts/ghESoA8mo3fv9Yx3E/why-do-some-language-models-fake-alignment-while-others-don,Why Do Some Language Models Fake Alignment While Others Don't?,Why Do Some Language Models Fake Alignment While Others Don't?,"abhayesian, John Hughes, Alex Mallen, Jozdien, janus, Fabien Roger","Anthropic, Redwood Research",2025,2025-07-08
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://arxiv.org/abs/2502.16797,Forecasting Rare Language Model Behaviors,Forecasting Rare Language Model Behaviors,"Erik Jones, Meg Tong, Jesse Mu, Mohammed Mahfoud, Jan Leike, Roger Grosse, Jared Kaplan, William Fithian, Ethan Perez, Mrinank Sharma","Anthropic, OpenAI, UC Berkeley",2025,2025-02-24
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignment.anthropic.com/2025/openai-findings,Findings from a Pilot Anthropic—OpenAI Alignment Evaluation Exercise,Findings from a Pilot Anthropic—OpenAI Alignment Evaluation Exercise,"Samuel R. Bowman, Megha Srivastava, Jon Kutasov, Rowan Wang, Trenton Bricken, Benjamin Wright, Ethan Perez, Nicholas Carlini","Anthropic, OpenAI",2025,2025-08-27
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://transformer-circuits.pub/2025/attribution-graphs/biology.html,On the Biology of a Large Language Model,On the Biology of a Large Language Model,"Jack Lindsey, Wes Gurnee, Emmanuel Ameisen, Brian Chen, Adam Pearce, Nicholas L. Turner, Craig Citro, David Abrahams, Shan Carter, Basil Hosmer, Jonathan Marcus, Michael Sklar, Adly Templeton, Trenton Bricken, Callum McDougall, Hoagy Cunningham, Thomas Henighan, Adam Jermyn, Andy Jones, Andrew Persic, Zhenyi Qi, T. Ben Thompson, Sam Zimmerman, Kelley Rivoire, Thomas Conerly, Chris Olah, Joshua Batson",Anthropic,2025,2025-03-27
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://www.anthropic.com/research/auditing-hidden-objectives,Auditing language models for hidden objectives,Auditing language models for hidden objectives,,Anthropic,2025,2025-03-13
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://arxiv.org/abs/2510.07192,Poisoning Attacks on LLMs Require a Near-constant Number of Poison Samples,Poisoning Attacks on LLMs Require a Near-constant Number of Poison Samples,"Alexandra Souly, Javier Rando, Ed Chapman, Xander Davies, Burak Hasircioglu, Ezzeldin Shereen, Carlos Mougan, Vasilios Mavroudis, Erik Jones, Chris Hicks, Nicholas Carlini, Yarin Gal, Robert Kirk",,2025,2025-10-08
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://transformer-circuits.pub/2025/attribution-graphs/methods.html,Circuit Tracing: Revealing Computational Graphs in Language Models,Circuit Tracing: Revealing Computational Graphs in Language Models,"Emmanuel Ameisen, Jack Lindsey, Adam Pearce, Wes Gurnee, Nicholas L. Turner, Brian Chen, Craig Citro, David Abrahams, Shan Carter, Basil Hosmer, Jonathan Marcus, Michael Sklar, Adly Templeton, Trenton Bricken, Callum McDougall, Hoagy Cunningham, Thomas Henighan, Adam Jermyn, Andy Jones, Andrew Persic, Zhenyi Qi, T. Ben Thompson, Sam Zimmerman, Kelley Rivoire, Thomas Conerly, Chris Olah, Joshua Batson",Anthropic,2025,2025-03-27
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://anthropic.com/research/shade-arena-sabotage-monitoring,SHADE-Arena: Evaluating sabotage and monitoring in LLM agents,SHADE-Arena: Evaluating sabotage and monitoring in LLM agents,"Xiang Deng, Chen Bo Calvin Zhang, Tyler Tracy, Buck Shlegeris, Yuqi Sun, Paul Colognese, Teun van der Weij, Linda Petrini, Henry Sleight","Anthropic, Scale AI, Redwood Research",2025,2025-06-16
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://transformer-circuits.pub/2025/introspection/index.html,Emergent Introspective Awareness in Large Language Models,Emergent Introspective Awareness in Large Language Models,Jack Lindsey,Anthropic,2025,2025-10-29
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://www.anthropic.com/research/reasoning-models-dont-say-think,Reasoning models don't always say what they think,Reasoning models don't always say what they think,,Anthropic,2025,2025-04-03
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignment.anthropic.com/2025/petri,Petri: An open-source auditing tool to accelerate AI safety research,Petri: An open-source auditing tool to accelerate AI safety research,,Anthropic,2025,2025-10-06
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://anthropic.com/research/introspection,Signs of introspection in large language models,Signs of introspection in large language models,,Anthropic,2025,2025-10-29
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignment.anthropic.com/2025/bumpers/,Putting up Bumpers,Putting up Bumpers,,Anthropic,2025,
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignment.anthropic.com/2024/safety-cases/index.html,Three Sketches of ASL-4 Safety Case Components,Three Sketches of ASL-4 Safety Case Components,,Anthropic,2024,2024-01-01
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://alignment.anthropic.com/2025/recommended-directions/index.html,Recommendations for Technical AI Safety Research Directions,Recommendations for Technical AI Safety Research Directions,Anthropic Alignment Science Team,Anthropic,2025,
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://www.anthropic.com/research/constitutional-classifiers,Constitutional Classifiers: Defending against universal jailbreaks,Constitutional Classifiers: Defending against universal jailbreaks,Anthropic Safeguards Research Team,Anthropic,2025,2025-02-03
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://gist.github.com/Richard-Weiss/efe157692991535403bd7e7fb20b6695,The Soul Document,Claude 4.5 Opus Soul Document,Richard-Weiss,,2024,2024-11-27
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://anthropic.com/research/open-source-circuit-tracing,Open-sourcing circuit tracing tools,Open-sourcing circuit tracing tools,"Michael Hanna, Mateusz Piotrowski, Emmanuel Ameisen, Jack Lindsey, Johnny Lin, Curt Tigges","Anthropic, Decode Research",2025,2025-05-29
Anthropic,Labs (giant companies),,Labs (giant companies) / Anthropic,https://assets.anthropic.com/m/74342f2c96095771/original/Natural-emergent-misalignment-from-reward-hacking-paper.pdf,Natural emergent misalignment from reward hacking,Natural emergent misalignment from reward hacking,,Anthropic,,
Meta,Labs (giant companies),,Labs (giant companies) / Meta,https://arxiv.org/pdf/2510.08240,The Alignment Waltz: Jointly Training Agents to Collaborate for Safety,The Alignment Waltz: Jointly Training Agents to Collaborate for Safety,"Jingyu Zhang, Haozhu Wang, Eric Michael Smith, Sid Wang, Amr Sharaf, Mahesh Pasupuleti, Benjamin Van Durme, Daniel Khashabi, Jason Weston, Hongyuan Zhan","Meta, Johns Hopkins University",2025,2025-10-09
Meta,Labs (giant companies),,Labs (giant companies) / Meta,https://arxiv.org/pdf/2510.00938%20,Large Reasoning Models Learn Better Alignment from Flawed Thinking,Large Reasoning Models Learn Better Alignment from Flawed Thinking,"ShengYun Peng, Eric Smith, Ivan Evtimov, Song Jiang, Pin-Yu Chen, Hongyuan Zhan, Haozhu Wang, Duen Horng Chau, Mahesh Pasupuleti, Jianfeng Chi",,2025,2025-10-01
Meta,Labs (giant companies),,Labs (giant companies) / Meta,https://arxiv.org/pdf/2409.20089,Robust LLM safeguarding via refusal feature adversarial training,Robust LLM safeguarding via refusal feature adversarial training,"Lei Yu, Virginie Do, Karen Hambardzumyan, Nicola Cancedda",,2024,2024-09-30
Meta,Labs (giant companies),,Labs (giant companies) / Meta,https://scontent-lhr8-1.xx.fbcdn.net/v/t39.2365-6/557601942_1468972530985309_838842257265552803_n.pdf?_nc_cat=108&ccb=1-7&_nc_sid=3c67a6&_nc_ohc=_H33_VKF3ZUQ7kNvwFog8dd&_nc_oc=AdlNtqCDY4HafZ3-d5rb26AF5f2m0X46SGdKhVq3jLqwpNf_wEXhdQnH7_30ychiZWk&_nc_zt=14&_nc_ht=scontent-lhr8-1.xx&_nc_gid=QvW_ePiaF4E-PxOf30MWyg&oh=00_AfiZC5G4ODvWhiy0MuVH8PSlUFrW8RDQQ8tdr6Zec5k9aA&oe=691A6D09,Code World Model Preparedness Report,Unable to access - URL signature expired,,,,
Meta,Labs (giant companies),,Labs (giant companies) / Meta,https://ai.meta.com/blog/practical-ai-agent-security/%20,Agents Rule of Two: A Practical Approach to AI Agent Security,Connect 2024: The responsible approach we're taking to generative AI,,Meta,2024,2024-09-25
Meta,Labs (giant companies),,Labs (giant companies) / Meta,https://github.com/facebookresearch/RAM/blob/main/projects/co-improvement.pdf,AI & Human Co-Improvement,Co-improvement (PDF - content not accessible),,"Meta, Facebook Research",2025,2025-12-05
Iterative alignment at pretrain-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at pretrain-time,https://alignment.anthropic.com/2025/unsupervised-elicitation,Unsupervised Elicitation,Unsupervised Elicitation,"Jiaxin Wen, Zachary Ankner, Arushi Somani, Peter Hase, Samuel Marks, Jacob Goldman-Wetzler, Linda Petrini, Henry Sleight, Collin Burns, He He, Shi Feng, Ethan Perez, Jan Leike","Anthropic, Schmidt Sciences, Independent, Constellation, New York University, George Washington University",2025,
Iterative alignment at pretrain-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at pretrain-time,https://arxiv.org/abs/2509.07955,ACE and Diverse Generalization via Selective Disagreement,ACE and Diverse Generalization via Selective Disagreement,"Oliver Daniels, Stuart Armstrong, Alexandre Maranhão, Mahirah Fairuz Rahman, Benjamin M. Marlin, Rebecca Gorman",Unknown - not specified in abstract,2025,2025-09-09
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2407.06483,Composable Interventions for Language Models,Composable Interventions for Language Models,"Arinbjorn Kolbeinsson, Kyle O'Brien, Tianjin Huang, Shanghua Gao, Shiwei Liu, Jonathan Richard Schwarz, Anurag Vaidya, Faisal Mahmood, Marinka Zitnik, Tianlong Chen, Thomas Hartvigsen",Various Universities,2024,2024-07-09
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2511.06626,Spilling the Beans: Teaching LLMs to Self-Report Their Hidden Objectives,Spilling the Beans: Teaching LLMs to Self-Report Their Hidden Objectives,"Chloe Li, Mary Phuong, Daniel Tan",,2025,2025-11-10
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2411.02306,On Targeted Manipulation and Deception when Optimizing LLMs for User Feedback,On Targeted Manipulation and Deception when Optimizing LLMs for User Feedback,"Marcus Williams, Micah Carroll, Adhyyan Narang, Constantin Weisser, Brendan Murphy, Anca Dragan",,2024,2024-11-04
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2505.13787,Preference Learning with Lie Detectors can Induce Honesty or Evasion,Preference Learning with Lie Detectors can Induce Honesty or Evasion,"Chris Cundy, Adam Gleave",,2025,2025-05-20
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2502.01930,Robust LLM Alignment via Distributionally Robust Direct Preference Optimization,Robust LLM Alignment via Distributionally Robust Direct Preference Optimization,"Zaiyan Xu, Sushil Vemuri, Kishan Panaganti, Dileep Kalathil, Rahul Jain, Deepak Ramachandran",,2025,2025-02-04
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2501.08617,RLHS: Mitigating Misalignment in RLHF with Hindsight Simulation,RLHS: Mitigating Misalignment in RLHF with Hindsight Simulation,"Kaiqu Liang, Haimin Hu, Ryan Liu, Thomas L. Griffiths, Jaime Fernández Fisac",Princeton University,2025,2025-01-15
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2510.21184,Reducing the Probability of Undesirable Outputs in Language Models Using Probabilistic Inference,Reducing the Probability of Undesirable Outputs in Language Models Using Probabilistic Inference,"Stephen Zhao, Aidan Li, Rob Brekelmans, Roger Grosse",,2025,2025-10-24
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2501.07886,Iterative Label Refinement Matters More than Preference Optimization under Weak Supervision,Iterative Label Refinement Matters More than Preference Optimization under Weak Supervision,"Yaowen Ye, Cassidy Laidlaw, Jacob Steinhardt",UC Berkeley,2025,2025-01-14
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2510.27062,Consistency Training Helps Stop Sycophancy and Jailbreaks,Consistency Training Helps Stop Sycophancy and Jailbreaks,"Alex Irpan, Alexander Matt Turner, Mark Kurzeja, David K. Elson, Rohin Shah","DeepMind, Google",2025,2025-10-31
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2508.12531,Rethinking Safety in LLM Fine-tuning: An Optimization Perspective,Rethinking Safety in LLM Fine-tuning: An Optimization Perspective,"Minseon Kim, Jin Myung Kwak, Lama Alssum, Bernard Ghanem, Philip Torr, David Krueger, Fazl Barez, Adel Bibi",,2025,2025-08-17
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2506.05967,Preference Learning for AI Alignment: a Causal Perspective,Preference Learning for AI Alignment: a Causal Perspective,"Katarzyna Kobalczyk, Mihaela van der Schaar",,2025,2025-06-06
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2506.08998,On Monotonicity in AI Alignment,On Monotonicity in AI Alignment,"Gilles Bareilles, Julien Fageot, Lê-Nguyên Hoang, Peva Blanchard, Wassim Bouaziz, Sébastien Rouault, El-Mahdi El-Mhamdi",,2025,2025-06-10
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2510.06084,Spectrum Tuning: Post-Training for Distributional Coverage and In-Context Steerability,Spectrum Tuning: Post-Training for Distributional Coverage and In-Context Steerability,"Taylor Sorensen, Benjamin Newman, Jared Moore, Chan Park, Jillian Fisher, Niloofar Mireshghallah, Liwei Jiang, Yejin Choi","University of Washington, Allen Institute for AI",2025,2025-10-07
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2502.11250,Uncertainty-Aware Step-wise Verification with Generative Reward Models,Uncertainty-Aware Step-wise Verification with Generative Reward Models,"Zihuiwen Ye, Luckeciano Carvalho Melo, Younesse Kaddar, Phil Blunsom, Sam Staton, Yarin Gal",Oxford University,2025,2025-02-16
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/abs/2507.06187,The Delta Learning Hypothesis: Preference Tuning on Weak Data can Yield Strong Gains,The Delta Learning Hypothesis: Preference Tuning on Weak Data can Yield Strong Gains,"Scott Geng, Hamish Ivison, Chun-Liang Li, Maarten Sap, Jerry Li, Ranjay Krishna, Pang Wei Koh",,2025,2025-07-08
Iterative alignment at post-train-time,Black-box safety (understand and control current model behaviour),Iterative alignment,Black-box safety (understand and control current model behaviour) / Iterative alignment / Iterative alignment at post-train-time,https://arxiv.org/pdf/2512.08093,Training LLMs for Honesty via Confessions,Training LLMs for Honesty via Confessions,"Manas Joglekar, Jeremy Chen, Gabriel Wu, Jason Yosinski, Jasmine Wang, Boaz Barak, Amelia Glaese","OpenAI, Google DeepMind",2025,2025-12-08
